date,realtime_start,realtime_end,value
1980-01-01,2025-01-15,2025-01-15,1341.0
1980-02-01,2025-01-15,2025-01-15,1350.0
1980-03-01,2025-01-15,2025-01-15,1047.0
1980-04-01,2025-01-15,2025-01-15,1051.0
1980-05-01,2025-01-15,2025-01-15,927.0
1980-06-01,2025-01-15,2025-01-15,1196.0
1980-07-01,2025-01-15,2025-01-15,1269.0
1980-08-01,2025-01-15,2025-01-15,1436.0
1980-09-01,2025-01-15,2025-01-15,1471.0
1980-10-01,2025-01-15,2025-01-15,1523.0
1980-11-01,2025-01-15,2025-01-15,1510.0
1980-12-01,2025-01-15,2025-01-15,1482.0
1981-01-01,2025-01-15,2025-01-15,1547.0
1981-02-01,2025-01-15,2025-01-15,1246.0
1981-03-01,2025-01-15,2025-01-15,1306.0
1981-04-01,2025-01-15,2025-01-15,1360.0
1981-05-01,2025-01-15,2025-01-15,1140.0
1981-06-01,2025-01-15,2025-01-15,1045.0
1981-07-01,2025-01-15,2025-01-15,1041.0
1981-08-01,2025-01-15,2025-01-15,940.0
1981-09-01,2025-01-15,2025-01-15,911.0
1981-10-01,2025-01-15,2025-01-15,873.0
1981-11-01,2025-01-15,2025-01-15,837.0
1981-12-01,2025-01-15,2025-01-15,910.0
1982-01-01,2025-01-15,2025-01-15,843.0
1982-02-01,2025-01-15,2025-01-15,866.0
1982-03-01,2025-01-15,2025-01-15,931.0
1982-04-01,2025-01-15,2025-01-15,917.0
1982-05-01,2025-01-15,2025-01-15,1025.0
1982-06-01,2025-01-15,2025-01-15,902.0
1982-07-01,2025-01-15,2025-01-15,1166.0
1982-08-01,2025-01-15,2025-01-15,1046.0
1982-09-01,2025-01-15,2025-01-15,1144.0
1982-10-01,2025-01-15,2025-01-15,1173.0
1982-11-01,2025-01-15,2025-01-15,1372.0
1982-12-01,2025-01-15,2025-01-15,1303.0
1983-01-01,2025-01-15,2025-01-15,1586.0
1983-02-01,2025-01-15,2025-01-15,1699.0
1983-03-01,2025-01-15,2025-01-15,1606.0
1983-04-01,2025-01-15,2025-01-15,1472.0
1983-05-01,2025-01-15,2025-01-15,1776.0
1983-06-01,2025-01-15,2025-01-15,1733.0
1983-07-01,2025-01-15,2025-01-15,1785.0
1983-08-01,2025-01-15,2025-01-15,1910.0
1983-09-01,2025-01-15,2025-01-15,1710.0
1983-10-01,2025-01-15,2025-01-15,1715.0
1983-11-01,2025-01-15,2025-01-15,1785.0
1983-12-01,2025-01-15,2025-01-15,1688.0
1984-01-01,2025-01-15,2025-01-15,1897.0
1984-02-01,2025-01-15,2025-01-15,2260.0
1984-03-01,2025-01-15,2025-01-15,1663.0
1984-04-01,2025-01-15,2025-01-15,1851.0
1984-05-01,2025-01-15,2025-01-15,1774.0
1984-06-01,2025-01-15,2025-01-15,1843.0
1984-07-01,2025-01-15,2025-01-15,1732.0
1984-08-01,2025-01-15,2025-01-15,1586.0
1984-09-01,2025-01-15,2025-01-15,1698.0
1984-10-01,2025-01-15,2025-01-15,1590.0
1984-11-01,2025-01-15,2025-01-15,1689.0
1984-12-01,2025-01-15,2025-01-15,1612.0
1985-01-01,2025-01-15,2025-01-15,1711.0
1985-02-01,2025-01-15,2025-01-15,1632.0
1985-03-01,2025-01-15,2025-01-15,1800.0
1985-04-01,2025-01-15,2025-01-15,1821.0
1985-05-01,2025-01-15,2025-01-15,1680.0
1985-06-01,2025-01-15,2025-01-15,1676.0
1985-07-01,2025-01-15,2025-01-15,1684.0
1985-08-01,2025-01-15,2025-01-15,1743.0
1985-09-01,2025-01-15,2025-01-15,1676.0
1985-10-01,2025-01-15,2025-01-15,1834.0
1985-11-01,2025-01-15,2025-01-15,1698.0
1985-12-01,2025-01-15,2025-01-15,1942.0
1986-01-01,2025-01-15,2025-01-15,1972.0
1986-02-01,2025-01-15,2025-01-15,1848.0
1986-03-01,2025-01-15,2025-01-15,1876.0
1986-04-01,2025-01-15,2025-01-15,1933.0
1986-05-01,2025-01-15,2025-01-15,1854.0
1986-06-01,2025-01-15,2025-01-15,1847.0
1986-07-01,2025-01-15,2025-01-15,1782.0
1986-08-01,2025-01-15,2025-01-15,1807.0
